Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,data_fetched_at,MA_5,MA_20,MA_50,RSI,BB_Middle,BB_Upper,BB_Lower,MACD,MACD_Signal,MACD_Histogram,Volume_MA,Volume_Ratio,Price_Change,Price_Change_5d,Volatility
2025-07-16 00:00:00+05:30,38053.513020833336,38053.513020833336,37338.22142269737,37959.78515625,42632,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,,,,,,,,0.0,0.0,0.0,,,,,
2025-07-17 00:00:00+05:30,38083.11040399793,38334.695718842995,37762.4624537052,38127.5078125,40326,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,,,,,,,,3.7630083133044536,2.0905601740580297,1.6724481392464239,,,0.004418430071709389,,
2025-07-18 00:00:00+05:30,38127.507457107844,38532.0171752451,37639.135968137256,37737.796875,32786,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,,,,,,,,-7.2900933540731785,-1.753969960421973,-5.536123393651206,,,-0.010221253888832327,,
2025-07-21 00:00:00+05:30,37979.51596139418,38048.578595951854,37501.010564816024,37806.859375,24276,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,,,,,,,,-9.645123736016103,-4.427125033455215,-5.217998702560888,,,0.001830061787357673,,
2025-07-22 00:00:00+05:30,37984.44954517613,37999.248681362566,36923.84478514849,37249.42578125,26390,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,37776.275,,,,,,,-32.90332347353251,-12.89815027146012,-20.005173202072392,,,-0.01474424490595494,,
2025-07-23 00:00:00+05:30,37293.824422393365,37550.342791436284,37012.64082555786,37471.4140625,20844,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,37678.60078125,,,,,,,-36.773833723244024,-19.369787949214018,-17.404045774030006,,,0.005959508813736969,-0.012865486243922808,
2025-07-24 00:00:00+05:30,37471.41420057372,37836.45957324914,37318.489787696184,37402.3515625,19341,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,37533.56953125,,,,,,,-41.751260796583665,-25.03394164352008,-16.717319153063585,,,-0.0018430716248073464,-0.01901924074256589,
2025-07-25 00:00:00+05:30,37604.60546565226,37604.60546565226,37106.36787519825,37323.421875,17581,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,37450.69453125,,,,,,,-48.17135448865156,-30.594297049350164,-17.577057439301395,,,-0.002110286765475311,-0.010980370724145483,
2025-07-28 00:00:00+05:30,37629.27213286256,38014.04969268994,37303.69112070093,37723.0,37336,0.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,37433.92265625,,,,,,,-32.05967567869084,-30.932806782508727,-1.1268688961821098,,,0.010705827733004547,-0.0022180994768228324,
2025-07-29 00:00:00+05:30,37700.0,40120.0,37615.0,39915.0,89125,512.0,0.0,BOSCHLTD.NS,2025-10-16 15:13:11.679591,37967.0375,,,,,,,92.74443103030353,-3.2219260586365905,95.96635708894013,,,0.058107785701031256,0.07156014254833831,
